@relation iris
@attribute feature1 real [0.3127289685264917,14.639432442318226]
@attribute feature2 real [0.08340147217751281,14.944109686333695]
@attribute class {1, 2, 3}
@inputs feature1,feature2
@outputs class
@data
1.6894913559022546,4.847781881714857,1
2.216416753911077,2.7309874225361295,1
3.376675523759423,0.08469456942787945,1
0.6050224374994323,3.6757397212206246,1
1.6739458554056856,3.8042562313719923,1
2.459941529179047,3.9677036010473388,1
0.7736603001048686,0.8956665838321609,1
0.8426702296204358,3.247690420923894,1
3.2448990236562016,4.829397652120807,1
4.351534410368632,0.09743196412947464,1
4.383415845077975,3.7621993515963466,1
2.734657035987623,2.3315487614182935,1
1.1443955279422076,3.179416305134942,1
3.638374253177848,3.9900347768300004,1
3.572343071666733,0.5509237453637922,1
2.6862228841575626,3.232748019499692,1
3.400997495405678,0.1077414402920146,1
0.6063268475159761,0.8323345109704466,1
2.751033096000251,2.163130323589031,1
2.0412243608771705,2.486550333683966,1
9.98819066786574,4.967195641820124,2
6.2781402180594075,0.4743192224307885,2
6.182046707962732,1.1054399546748128,2
8.184969043811467,4.109611547211051,2
5.680042571353365,0.43474720067286976,2
5.668287538510531,0.19161251049866324,2
5.066727437500553,2.2232646162771577,2
9.679435048102818,3.802561551204135,2
5.188064099181076,2.5740773819823333,2
9.091319198859631,2.439889049145372,2
6.292270660934522,2.1506414683321866,2
8.71140686158294,4.123500135941559,2
8.275599004154838,3.8725969892247485,2
7.950910944176957,0.6648939153777683,2
9.554296718721861,1.0364802755829388,2
8.145265148650118,2.1274078025829994,2
6.225624149163501,12.286634743463154,3
6.120842835989871,12.227056095724718,3
6.620435722558916,12.926333992875175,3
6.1176621158448174,12.606609898933648,3
6.763840421134807,12.254492818258132,3
6.5416804518828435,12.708673618713123,3
6.637423724583241,12.056112281343037,3
6.660854352545639,12.664239968935945,3
10.380164145378501,4.847272985548843,2
11.900619468681741,1.1110632609567812,2
11.29694038399416,1.9811869168875706,2
13.299427528011421,0.08340147217751281,2
11.865075513137311,3.8759873724936904,2
12.170415556829331,1.880102559354056,2
11.752766157271616,4.198727612935989,2
10.699685394558179,4.54624896228841,2
12.834191737597436,1.8044858677496778,2
14.639432442318226,0.629667211453368,2
13.67577014133973,2.721302220351891,2
10.40511969019056,1.1659456327442093,2
13.737186284276454,1.2277731090863242,2
14.316435687361427,0.8665100837282486,2
10.93601556001336,2.2922504001438204,2
0.3127289685264917,5.950595133370198,2
1.0029996717270877,5.328770302260273,2
3.1542271539781153,9.488835877127855,2
4.335131319207916,9.169926275287414,2
3.607940700295998,9.261788420845699,2
4.218231603482774,9.72390090043259,2
2.5768139470757214,8.69827479390487,2
2.0022790621401003,6.086952585926893,2
3.1719285279368084,6.268741545721531,2
4.820022845055215,9.329369947106791,2
1.8499251061718736,7.140564596617276,2
1.363302661986479,9.0425487544857,2
1.8833900986527674,5.532907540734555,2
1.5923616912165999,7.7500118892462355,2
0.4326014878858031,5.768994933810548,2
4.561853818846212,9.841711048487978,2
4.056804857073083,6.79253373178125,2
3.9659491881734614,9.864439742403968,2
0.8532471870184094,7.623172081262625,2
